"id";"parent";"level";"type";"name";"part";"v_total";"v_eu";"v_nation";"v_proc_eu";"v_proc_nation";
"6-4-4-1";"6-4-4";"e";"Administer";"Ministry of Sport and Tourism";"40";33783;0;33783;"0.0";"100.0";
"6-5";"6";"c";"Task 6.5";"Performance of activities in the area metrology and hallmarking";;126631;0;126631;"0.0";"100.0";
"6-5-1";"6-5";"d";"Subtask 6.5.1";"Performance of activities in the area of metrology for the purposes of entities operating in the economy";;115683;0;115683;"0.0";"100.0";
"6-5-1-1";"6-5-1";"e";"Administer";"Central Office of Measures";"64";115683;0;115683;"0.0";"100.0";
"6-5-2";"6-5";"d";"Subtask 6.5.2";"Examination and hallmarking of goods made of precious metals and supervising of trade in such goods";;10948;0;10948;"0.0";"100.0";
"6-5-2-1";"6-5-2";"e";"Administer";"Central Office of Measures";"64";10948;0;10948;"0.0";"100.0";
"6-6";"6";"c";"Task 6.6";"Performance of activities in the area of protection of intellectual property";;138292;0;138292;"0.0";"100.0";
"6-6-1";"6-6";"d";"Subtask 6.6.1";"Exclusive rights";;35737;0;35737;"0.0";"100.0";
"6-6-1-1";"6-6-1";"e";"Administer";"Polish Patent Office";"61";35737;0;35737;"0.0";"100.0";
"6-6-2";"6-6";"d";"Subtask 6.6.2";"Dissemination and promotion of protection of industrial property and international cooperation";;10919;0;10919;"0.0";"100.0";
"6-6-2-1";"6-6-2";"e";"Administer";"Polish Patent Office";"61";10919;0;10919;"0.0";"100.0";
"6-6-3";"6-6";"d";"Subtask 6.6.3";"Enforcement of bans and limitations related to possession, distribution and trade of goods";;91636;0;91636;"0.0";"100.0";
"6-6-3-1";"6-6-3";"e";"Administer";"Ministry of Finance";"19";91636;0;91636;"0.0";"100.0";
"6-7";"6";"c";"Task 6.7";"Organisation and promotion of standardization activity";;25588;0;25588;"0.0";"100.0";
"6-7-1";"6-7";"d";"Subtask 6.7.1";"Organisation of standardization activity including the implementation of tasks resulting from membership in the European Union";;12866;0;12866;"0.0";"100.0";
"6-7-1-1";"6-7-1";"e";"Administer";"Polish Committee for Standardization";"65";12866;0;12866;"0.0";"100.0";
"6-7-2";"6-7";"d";"Subtask 6.7.2";"Promotion of standardization information";;12722;0;12722;"0.0";"100.0";
"6-7-2-1";"6-7-2";"e";"Administer";"Polish Committee for Standardization";"65";12722;0;12722;"0.0";"100.0";
"6-8";"6";"c";"Task 6.8";"Energy market supervision";;25761;0;25761;"0.0";"100.0";
"6-8-1";"6-8";"d";"Subtask 6.8.1";"Regulation of energy plant operation in the non-competitive and rationed areas";;20668;0;20668;"0.0";"100.0";
"6-8-1-1";"6-8-1";"e";"Administer";"Energy Regulatory Office";"50";20668;0;20668;"0.0";"100.0";
"6-8-2";"6-8";"d";"Subtask 6.8.2";"Promotion of competition on the energy market";;2651;0;2651;"0.0";"100.0";
"6-8-2-1";"6-8-2";"e";"Administer";"Energy Regulatory Office";"50";2651;0;2651;"0.0";"100.0";
"6-8-3";"6-8";"d";"Subtask 6.8.3";"Implementation of regulatory policy taking into account the environmental protection";;1470;0;1470;"0.0";"100.0";
"6-8-3-1";"6-8-3";"e";"Administer";"Energy Regulatory Office";"50";1470;0;1470;"0.0";"100.0";
"6-8-4";"6-8";"d";"Subtask 6.8.4";"Cooperation in integration of the European market";;972;0;972;"0.0";"100.0";
"6-8-4-1";"6-8-4";"e";"Administer";"Energy Regulatory Office";"50";972;0;972;"0.0";"100.0";
"6-9";"6";"c";"Task 6.9";"Supervision and control nad zakładami górniczymi oraz zakładami wykonującymi roboty geologiczne";;40534;0;40534;"0.0";"100.0";
"6-9-1";"6-9";"d";"Subtask 6.9.1";"Supervision and control nad bezpieczeństwem, higieną pracy i ochroną zdrowia";;19753;0;19753;"0.0";"100.0";
"6-9-1-1";"6-9-1";"e";"Administer";"State Mining Authority";"60";19753;0;19753;"0.0";"100.0";
"6-9-2";"6-9";"d";"Subtask 6.9.2";"Supervision and control nad bezpieczeństwem wyrobów przeznaczonych do stosowania w zakładach górniczych";;12180;0;12180;"0.0";"100.0";
"6-9-2-1";"6-9-2";"e";"Administer";"State Mining Authority";"60";12180;0;12180;"0.0";"100.0";
"6-9-3";"6-9";"d";"Subtask 6.9.3";"Supervision and control nad zagospodarowaniem przestrzennym, ochroną środowiska i gospodarką złożem";;6597;0;6597;"0.0";"100.0";
"6-9-3-1";"6-9-3";"e";"Administer";"State Mining Authority";"60";6597;0;6597;"0.0";"100.0";
"6-9-4";"6-9";"d";"Subtask 6.9.4";"Supervision and control nad projektowaniem, budową, utrzymaniem i rozbiórką obiektów budowlanych zakładów górniczych";;2004;0;2004;"0.0";"100.0";
"6-9-4-1";"6-9-4";"e";"Administer";"Ministry of the Environment";"41";0;0;0;0;0;
"6-9-4-2";"6-9-4";"e";"Administer";"State Mining Authority";"60";2004;0;2004;"0.0";"100.0";
"6-10";"6";"c";"Task 6.10";"Public statistics";;727180;30906;696274;"4.25";"95.75";
"6-10-1";"6-10";"d";"Subtask 6.10.1";"Organisation and execution of statistical research";;311194;30580;280614;"9.83";"90.17";
"6-10-1-1";"6-10-1";"e";"Administer";"Ministry of Finance";"19";294;0;294;"0.0";"100.0";
"6-10-1-2";"6-10-1";"e";"Administer";"Ministry of Sport and Tourism";"40";1834;0;1834;"0.0";"100.0";
"6-10-1-3";"6-10-1";"e";"Administer";"Central Statistical Office";"58";309066;30580;278486;"9.89";"90.11";
"6-10-2";"6-10";"d";"Subtask 6.10.2";"Statistical research and analysis";;2966;0;2966;"0.0";"100.0";
"6-10-2-1";"6-10-2";"e";"Administer";"Central Statistical Office";"58";2966;0;2966;"0.0";"100.0";
"6-10-3";"6-10";"d";"Subtask 6.10.3";"Conducting of censuses";;317600;0;317600;"0.0";"100.0";
"6-10-3-1";"6-10-3";"e";"Administer";"Central Statistical Office";"58";317600;0;317600;"0.0";"100.0";
"6-10-4";"6-10";"d";"Subtask 6.10.4";"Disclosure and dissemination of results of statistical information and other studies";;53259;0;53259;"0.0";"100.0";
"6-10-4-1";"6-10-4";"e";"Administer";"Ministry of Finance";"19";128;0;128;"0.0";"100.0";
"6-10-4-2";"6-10-4";"e";"Administer";"Central Statistical Office";"58";53131;0;53131;"0.0";"100.0";
"6-10-5";"6-10";"d";"Subtask 6.10.5";"Maintenance of national official registers";;42161;326;41835;"0.77";"99.23";
"6-10-5-1";"6-10-5";"e";"Administer";"Central Statistical Office";"58";42106;326;41780;"0.77";"99.23";
"6-10-5-2";"6-10-5";"e";"Administer";"Voivodes";"85";55;0;55;"0.0";"100.0";
"6-11";"6";"c";"Task 6.11";"Supervision of nuclear security and radiological protection";;95716;0;95716;"0.0";"100.0";
"6-11-1";"6-11";"d";"Subtask 6.11.1";"Supervision over compliance with nuclear security and radiological protection conditions in operations related to the peaceful use of nuclear energy";;11602;0;11602;"0.0";"100.0";
"6-11-1-1";"6-11-1";"e";"Administer";"National Atomic Energy Agency";"68";11602;0;11602;"0.0";"100.0";
"6-11-2";"6-11";"d";"Subtask 6.11.2";"Assessment of the radiation conditions in the country";;1857;0;1857;"0.0";"100.0";
"6-11-2-1";"6-11-2";"e";"Administer";"National Atomic Energy Agency";"68";1857;0;1857;"0.0";"100.0";
"6-11-3";"6-11";"d";"Subtask 6.11.3";"Performance of the Poland’s international obligations";;82257;0;82257;"0.0";"100.0";
"6-11-3-1";"6-11-3";"e";"Administer";"National Atomic Energy Agency";"68";82257;0;82257;"0.0";"100.0";
"6-12";"6";"c";"Task 6.12";"Protection of competition i konsumentów";;150652;0;150652;"0.0";"100.0";
"6-12-1";"6-12";"d";"Subtask 6.12.1";"Protection of competition";;16127;0;16127;"0.0";"100.0";
"6-12-1-1";"6-12-1";"e";"Administer";"Office of Competition and Consumer Protection";"53";7100;0;7100;"0.0";"100.0";
"6-12-1-2";"6-12-1";"e";"Administer";"Office of Electronic Communications";"76";8127;0;8127;"0.0";"100.0";
"6-12-1-3";"6-12-1";"e";"Administer";"Voivodes";"85";900;0;900;"0.0";"100.0";
"6-12-2";"6-12";"d";"Subtask 6.12.2";"Consumer protection and market supervision";;85392;0;85392;"0.0";"100.0";
"6-12-2-1";"6-12-2";"e";"Administer";"Office of Competition and Consumer Protection";"53";21470;0;21470;"0.0";"100.0";
"6-12-2-2";"6-12-2";"e";"Administer";"Voivodes";"85";63922;0;63922;"0.0";"100.0";
"6-12-3";"6-12";"d";"Subtask 6.12.3";"State aid";;2460;0;2460;"0.0";"100.0";
"6-12-3-1";"6-12-3";"e";"Administer";"Office of Competition and Consumer Protection";"53";2460;0;2460;"0.0";"100.0";
"6-12-4";"6-12";"d";"Subtask 6.12.4";"Performance of tasks with respect to trade quality of agricultural and food products";;43749;0;43749;"0.0";"100.0";
"6-12-4-1";"6-12-4";"e";"Administer";"Ministry of Agriculture and Rural Development";"35";17160;0;17160;"0.0";"100.0";
"6-12-4-2";"6-12-4";"e";"Administer";"Voivodes";"85";26589;0;26589;"0.0";"100.0";
"6-12-5";"6-12";"d";"Subtask 6.12.5";"Compliance assessment system";;2924;0;2924;"0.0";"100.0";
"6-12-5-1";"6-12-5";"e";"Administer";"Office of Electronic Communications";"76";2924;0;2924;"0.0";"100.0";
"6-13";"6";"c";"Task 6.13";"Informatization of operations and building information society";;23192;13867;9325;"59.79";"40.21";
"6-13-1";"6-13";"d";"Subtask 6.13.1";"Maintenance of IT systems";;8274;589;7685;"7.12";"92.88";
"6-13-1-1";"6-13-1";"e";"Administer";"Ministry of Sport and Tourism";"40";1315;0;1315;"0.0";"100.0";
"6-13-1-2";"6-13-1";"e";"Administer";"Office of Electronic Communications";"76";6959;589;6370;"8.46";"91.54";
"6-13-2";"6-13";"d";"Subtask 6.13.2";"Construction and implementation of IT solutions";;14918;13278;1640;"89.01";"10.99";
"6-13-2-1";"6-13-2";"e";"Administer";"Ministry of Sport and Tourism";"40";359;0;359;"0.0";"100.0";
"6-13-2-2";"6-13-2";"e";"Administer";"Office of Electronic Communications";"76";14559;13278;1281;"91.2";"8.8";
"7";;"b";"Function 7";"SPATIAL MANAGEMENT, CONSTRUCTION AND HOUSING";;1716568;63034;1653534;"3.67";"96.33";
"7-1";"7";"c";"Task 7.1";"Support for construction";;652780;0;652780;"0.0";"100.0";
"7-1-1";"7-1";"d";"Subtask 7.1.1";"Thermo-modernisation and overhauls of housing resources";;208861;0;208861;"0.0";"100.0";
"7-1-1-1";"7-1-1";"e";"Administer";"Ministry of Infrastructure";"18";200000;0;200000;"0.0";"100.0";
"7-1-1-2";"7-1-1";"e";"Administer";"Ministry of National Defence";"29";0;0;0;0;0;
